date,open,high,low,close
2023.04.05,2021.09,2032.26,2009.90,2020.66
2023.04.06,2020.75,2021.40,2000.84,2007.32
2023.04.10,1997.30,2006.29,1981.72,1991.18
2023.04.11,1991.07,2007.44,1988.82,2003.52
2023.04.12,2003.14,2028.35,2001.39,2014.77
2023.04.13,2014.44,2048.67,2013.95,2040.10
2023.04.14,2040.17,2047.47,1992.40,2004.42
2023.04.17,1999.29,2015.05,1981.18,1995.08
2023.04.18,1994.76,2011.82,1991.19,2005.21
2023.04.19,2005.10,2008.20,1969.18,1994.67
2023.04.20,1994.35,2012.39,1990.50,2004.70
2023.04.21,2004.20,2005.53,1971.59,1982.84
2023.04.24,1982.38,1990.79,1974.13,1989.05
2023.04.25,1989.18,2003.85,1976.09,1997.06
2023.04.26,1996.86,2009.43,1983.37,1989.29
2023.04.27,1989.84,2003.34,1974.22,1987.74
2023.04.28,1987.48,1995.04,1976.15,1989.55
2023.05.01,1989.54,2006.00,1977.09,1982.44
2023.05.02,1982.12,2019.41,1978.49,2016.53
2023.05.03,2016.03,2040.37,2007.78,2038.52
2023.05.04,2064.37,2066.81,2030.38,2050.15
2023.05.05,2049.01,2053.00,1999.51,2016.54
2023.05.08,2017.12,2029.42,2014.07,2021.36
2023.05.09,2021.17,2037.62,2019.51,2034.42
2023.05.10,2034.40,2048.18,2021.55,2030.10
2023.05.11,2029.86,2041.29,2011.04,2014.95
2023.05.12,2015.12,2022.59,2000.89,2010.91
2023.05.15,2008.04,2022.21,2007.28,2016.32
2023.05.16,2016.54,2018.32,1985.19,1988.81
2023.05.17,1988.89,1993.04,1974.98,1981.41
2023.05.18,1981.60,1986.01,1951.98,1957.39
2023.05.19,1958.11,1984.18,1954.02,1977.50
2023.05.22,1977.99,1982.59,1968.87,1971.73
2023.05.23,1971.88,1977.78,1954.24,1974.88
2023.05.24,1975.21,1985.29,1956.71,1957.24
2023.05.25,1958.43,1964.77,1938.84,1940.69
2023.05.26,1941.49,1957.30,1936.76,1946.72
2023.05.29,1942.84,1949.71,1940.22,1943.15
2023.05.30,1943.68,1963.55,1932.05,1959.17
2023.05.31,1958.88,1974.79,1953.68,1962.60
2023.06.01,1963.16,1983.10,1953.39,1977.40
2023.06.02,1976.96,1983.48,1947.50,1947.62
2023.06.05,1947.68,1964.03,1938.13,1961.70
2023.06.06,1961.56,1966.40,1954.39,1963.23
2023.06.07,1963.51,1970.18,1939.77,1939.87
2023.06.08,1940.31,1970.50,1940.12,1965.44
2023.06.09,1965.68,1973.10,1956.64,1960.46
2023.06.12,1960.21,1966.97,1949.20,1957.34
2023.06.13,1957.00,1971.13,1940.05,1943.44
2023.06.14,1943.21,1960.27,1939.61,1941.74
2023.06.15,1942.55,1960.26,1924.70,1957.96
2023.06.16,1957.12,1967.93,1953.28,1957.51
2023.06.19,1957.62,1958.76,1947.78,1950.48
2023.06.20,1950.60,1956.79,1929.78,1936.08
2023.06.21,1935.44,1939.45,1919.19,1932.43
2023.06.22,1931.67,1934.82,1912.18,1913.64
2023.06.23,1913.66,1937.47,1909.99,1920.53
2023.06.26,1925.15,1933.36,1921.56,1923.14
2023.06.27,1923.39,1930.69,1910.86,1913.62
2023.06.28,1914.38,1917.14,1902.79,1907.28
2023.06.29,1907.49,1913.13,1892.95,1908.25
2023.06.30,1908.54,1922.80,1900.56,1919.17
2023.07.03,1918.60,1930.98,1909.97,1921.48
2023.07.04,1921.28,1930.75,1919.74,1925.89
2023.07.05,1925.84,1935.05,1914.74,1915.21
2023.07.06,1916.20,1927.59,1902.59,1910.93
2023.07.07,1910.59,1934.97,1909.45,1925.31
2023.07.10,1924.76,1928.06,1912.69,1925.28
2023.07.11,1925.14,1938.47,1924.35,1932.09
2023.07.12,1932.32,1959.70,1932.14,1957.35
2023.07.13,1957.14,1963.65,1952.38,1960.39
2023.07.14,1960.20,1963.78,1950.93,1955.45
2023.07.17,1955.47,1959.85,1945.77,1954.92
2023.07.18,1954.69,1984.36,1954.53,1978.73
2023.07.19,1978.93,1980.93,1969.69,1976.97
2023.07.20,1977.33,1987.43,1965.36,1969.50
2023.07.21,1970.20,1973.80,1956.81,1961.84
2023.07.24,1962.41,1967.88,1953.47,1954.87
2023.07.25,1955.20,1965.69,1951.74,1964.85
2023.07.26,1964.93,1978.32,1962.00,1972.27
2023.07.27,1971.43,1982.23,1942.57,1945.52
2023.07.28,1946.81,1963.56,1945.35,1959.15
2023.07.31,1959.58,1972.39,1950.87,1965.52
2023.08.01,1965.68,1965.98,1941.26,1944.19
2023.08.02,1949.98,1954.84,1932.94,1934.87
2023.08.03,1935.38,1938.88,1929.51,1933.98
2023.08.04,1934.62,1946.95,1925.53,1942.65
2023.08.07,1942.75,1946.72,1931.53,1936.52
2023.08.08,1936.21,1938.06,1922.73,1925.22
2023.08.09,1925.02,1932.34,1913.98,1914.70
2023.08.10,1914.71,1930.14,1912.10,1912.33
2023.08.11,1912.57,1920.95,1910.77,1913.62
2023.08.14,1913.35,1916.24,1902.69,1907.42
2023.08.15,1907.17,1911.65,1896.35,1901.85
2023.08.16,1901.65,1907.22,1891.85,1891.92
2023.08.17,1892.05,1903.49,1885.04,1889.33
2023.08.18,1889.45,1896.91,1886.76,1889.37
2023.08.21,1889.66,1898.78,1884.81,1894.67
2023.08.22,1894.68,1904.53,1889.11,1897.38
2023.08.23,1897.19,1920.38,1897.18,1915.38
2023.08.24,1915.38,1923.40,1911.77,1916.69
2023.08.25,1917.05,1922.45,1903.78,1914.21
2023.08.28,1914.86,1926.07,1912.77,1920.06
2023.08.29,1919.96,1938.20,1914.44,1937.32
2023.08.30,1937.30,1949.07,1934.95,1942.42
2023.08.31,1942.60,1947.91,1939.01,1940.06
2023.09.01,1940.01,1953.02,1934.40,1939.85
2023.09.04,1940.41,1946.28,1936.79,1938.47
2023.09.05,1938.41,1938.99,1925.36,1925.97
2023.09.06,1926.11,1929.19,1915.31,1916.42
2023.09.07,1917.07,1923.58,1916.25,1919.62
2023.09.08,1919.61,1929.70,1917.35,1919.13
2023.09.11,1920.36,1930.77,1916.47,1922.33
2023.09.12,1922.77,1924.48,1907.59,1913.34
2023.09.13,1913.23,1915.77,1905.51,1908.15
2023.09.14,1908.72,1912.91,1901.02,1910.51
2023.09.15,1910.89,1930.43,1909.71,1923.68
2023.09.18,1923.42,1934.23,1922.52,1933.61
2023.09.19,1933.54,1937.41,1929.75,1931.34
2023.09.20,1931.67,1947.42,1927.95,1930.36
2023.09.21,1930.34,1931.60,1913.90,1919.94
2023.09.22,1919.87,1929.12,1919.58,1925.25
2023.09.25,1925.07,1927.22,1915.11,1915.78
2023.09.26,1916.16,1916.81,1899.12,1900.58
2023.09.27,1900.58,1903.92,1872.55,1874.99
2023.09.28,1876.14,1879.58,1857.66,1864.80
2023.09.29,1865.15,1879.88,1846.33,1848.74
2023.10.02,1846.45,1848.93,1827.14,1827.77
2023.10.03,1828.97,1833.38,1815.25,1822.94
2023.10.04,1823.35,1830.79,1816.58,1821.10
2023.10.05,1821.26,1829.20,1813.01,1820.24
2023.10.06,1820.41,1834.90,1810.47,1831.84
2023.10.09,1847.52,1863.49,1844.23,1861.35
2023.10.10,1861.18,1865.37,1853.00,1860.42
2023.10.11,1859.96,1877.20,1858.61,1874.27
2023.10.12,1874.63,1885.12,1867.91,1868.73
2023.10.13,1869.07,1932.41,1868.94,1932.41
2023.10.16,1925.94,1927.68,1908.20,1920.06
2023.10.17,1919.98,1931.57,1912.41,1923.05
2023.10.18,1923.91,1962.67,1923.28,1947.62
2023.10.19,1947.76,1977.73,1945.25,1974.28
2023.10.20,1973.40,1997.21,1972.04,1980.90
2023.10.23,1968.07,1982.81,1964.38,1972.74
2023.10.24,1973.10,1980.87,1953.49,1971.03
2023.10.25,1970.88,1987.28,1962.96,1979.45
2023.10.26,1980.76,1993.44,1971.63,1984.73
2023.10.27,1984.49,2009.47,1976.78,2005.91
2023.10.30,2004.90,2006.74,1990.96,1996.15
2023.10.31,1995.67,2007.93,1978.88,1983.97
2023.11.01,1983.46,1992.03,1969.88,1982.67
2023.11.02,1983.42,1991.08,1978.84,1985.77
2023.11.03,1985.89,2004.11,1983.17,1992.52
2023.11.06,1992.43,1993.16,1977.42,1977.82
2023.11.07,1977.93,1978.34,1956.71,1969.03
2023.11.08,1968.67,1971.04,1947.44,1950.20
2023.11.09,1949.95,1965.64,1944.51,1958.41
2023.11.10,1958.42,1960.81,1933.06,1938.62
2023.11.13,1938.42,1949.22,1931.60,1946.10
2023.11.14,1946.10,1970.87,1943.76,1963.16
2023.11.15,1962.79,1975.34,1955.37,1959.19
2023.11.16,1960.04,1987.91,1956.41,1981.10
2023.11.17,1980.89,1993.36,1978.53,1980.56
2023.11.20,1978.11,1985.15,1965.40,1977.65
2023.11.21,1977.92,2007.53,1977.80,1998.26
2023.11.22,1998.61,2006.43,1986.86,1989.81
2023.11.23,1989.20,1998.52,1989.18,1992.78
2023.11.24,1992.95,2003.58,1991.45,2002.33
2023.11.27,2002.12,2018.12,2000.38,2014.18
2023.11.28,2013.84,2042.98,2011.49,2041.07
2023.11.29,2041.36,2051.99,2035.42,2044.12
2023.11.30,2044.56,2047.25,2031.01,2036.09
2023.12.01,2036.83,2075.36,2033.91,2071.63
2023.12.04,2072.60,2144.77,2020.13,2028.89
2023.12.05,2030.21,2041.17,2009.80,2019.36
2023.12.06,2019.91,2035.86,2017.21,2025.26
2023.12.07,2026.30,2039.94,2020.18,2028.54
2023.12.08,2028.51,2033.98,1994.58,2004.04
2023.12.11,2005.36,2007.71,1975.78,1981.69
2023.12.12,1982.00,1996.68,1977.21,1979.30
2023.12.13,1980.10,2027.79,1973.00,2027.23
2023.12.14,2025.48,2047.90,2024.35,2036.20
2023.12.15,2036.28,2044.95,2015.48,2019.02
2023.12.18,2019.56,2033.77,2015.86,2027.21
2023.12.19,2027.32,2047.03,2021.62,2040.13
2023.12.20,2040.05,2043.56,2027.27,2031.31
2023.12.21,2032.05,2046.12,2031.39,2045.78
2023.12.22,2045.87,2070.70,2045.87,2052.75
2023.12.26,2053.23,2069.05,2052.97,2067.44
2023.12.27,2068.19,2084.51,2061.32,2077.49
2023.12.28,2077.46,2088.51,2064.37,2065.25
2023.12.29,2066.27,2074.87,2058.07,2063.03
2024.01.02,2062.91,2078.99,2055.82,2058.91
2024.01.03,2059.16,2066.05,2030.49,2041.27
2024.01.04,2041.88,2051.04,2036.10,2043.28
2024.01.05,2043.81,2064.07,2024.34,2045.30
2024.01.08,2044.65,2046.55,2016.61,2028.18
2024.01.09,2028.22,2042.09,2025.95,2030.21
2024.01.10,2030.36,2040.37,2020.31,2024.32
2024.01.11,2024.06,2045.80,2013.16,2028.54
2024.01.12,2029.20,2062.33,2028.73,2048.81
2024.01.15,2047.90,2058.66,2045.68,2054.60
2024.01.16,2054.62,2055.59,2024.19,2028.22
2024.01.17,2028.29,2033.00,2001.68,2006.11
2024.01.18,2005.62,2023.31,2005.62,2022.93
2024.01.19,2024.39,2039.50,2020.26,2029.33
2024.01.22,2029.70,2032.19,2016.42,2021.62
2024.01.23,2021.96,2037.98,2019.51,2029.23
2024.01.24,2029.02,2036.78,2011.06,2013.50
2024.01.25,2014.30,2025.44,2009.47,2020.70
2024.01.26,2020.26,2026.75,2015.81,2018.49
2024.01.29,2024.05,2037.46,2019.18,2032.70
2024.01.30,2032.92,2048.64,2028.96,2036.87
2024.01.31,2036.95,2056.07,2030.79,2039.20
2024.02.01,2038.97,2065.54,2029.93,2054.98
2024.02.02,2054.88,2057.73,2027.73,2039.57
2024.02.05,2040.01,2042.29,2014.76,2025.03
2024.02.06,2024.76,2038.96,2022.77,2035.86
2024.02.07,2036.04,2044.64,2030.50,2035.00
2024.02.08,2035.64,2038.70,2020.08,2034.33
2024.02.09,2034.61,2037.28,2020.20,2024.26
2024.02.12,2024.15,2027.59,2011.75,2019.94
2024.02.13,2019.73,2031.91,1989.97,1992.95
2024.02.14,1993.44,1996.12,1984.03,1992.10
2024.02.15,1992.32,2008.38,1990.09,2004.25
2024.02.16,2004.12,2015.24,1995.19,2013.18
2024.02.19,2014.69,2023.04,2011.38,2017.91
2024.02.20,2018.09,2030.94,2014.87,2024.23
2024.02.21,2024.11,2032.27,2020.05,2025.97
